id,species,sample_id,file,abundance,relative_abundance
S160C1228.batch1,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella_sp002232035,ERR1620330,MetaModels_SummerSchool/GEMs_gapseq/S160C1228.batch1.xml,230.33,0.5152
S34C503.batch2,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera_sp000417505,ERR1620330,MetaModels_SummerSchool/GEMs_gapseq/S34C503.batch2.xml,217.53,0.4865
S1090C749.batch2,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__,ERR1620330,MetaModels_SummerSchool/GEMs_gapseq/S1090C749.batch2.xml,186.62,0.4174
S120C566.batch2,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella_sp900548535,ERR1620330,MetaModels_SummerSchool/GEMs_gapseq/S120C566.batch2.xml,181.52000000000004,0.406
S415C847.batch1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea_formicigenerans,ERR1620330,MetaModels_SummerSchool/GEMs_gapseq/S415C847.batch1.xml,175.73,0.3931
S545C749.batch2,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__,ERR1620330,MetaModels_SummerSchool/GEMs_gapseq/S545C749.batch2.xml,152.19,0.3404
S189C697.batch1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia_coli,ERR1620330,MetaModels_SummerSchool/GEMs_gapseq/S189C697.batch1.xml,147.03,0.3289
S287C140.batch2,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__Eisenbergiella_sp900066775,ERR1620330,MetaModels_SummerSchool/GEMs_gapseq/S287C140.batch2.xml,144.51999999999998,0.3232
S78C26.batch1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira_sp000437735,ERR1620330,MetaModels_SummerSchool/GEMs_gapseq/S78C26.batch1.xml,140.60000000000002,0.3145
S321C1228.batch1,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella_sp900757495,ERR1620330,MetaModels_SummerSchool/GEMs_gapseq/S321C1228.batch1.xml,134.34,0.3005
S257C1228.batch1,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella_sp900756765,ERR1620330,MetaModels_SummerSchool/GEMs_gapseq/S257C1228.batch1.xml,116.35,0.2602
S252C237.batch2,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__TF01-11;s__TF01-11_sp001414325,ERR1620330,MetaModels_SummerSchool/GEMs_gapseq/S252C237.batch2.xml,107.63,0.2407
S880C852.batch2,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola_plebeius_A,ERR1620330,MetaModels_SummerSchool/GEMs_gapseq/S880C852.batch2.xml,105.63,0.2363
S635C749.batch2,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__,ERR1620330,MetaModels_SummerSchool/GEMs_gapseq/S635C749.batch2.xml,103.14,0.2307
