taxon,sample_id,tolerance,reaction,flux,abundance,metabolite,direction
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00023_e0,-0.006589169680695808,0.0019664113893562703,cpd00023_e0,import
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00119_e0,-0.0010794902253816953,0.0019664113893562703,cpd00119_e0,import
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00122_e0,-0.0006625437751879722,0.0019664113893562703,cpd00122_e0,import
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00028_e0,-4.737397979018185e-05,0.0019664113893562703,cpd00028_e0,import
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd00069_e0,-0.07425293307181516,0.09291887431742285,cpd00069_e0,import
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd00232_e0,-0.06579090274504343,0.09291887431742285,cpd00232_e0,import
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd00367_e0,-0.17749824593598792,0.09291887431742285,cpd00367_e0,import
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd00305_e0,-0.002238751982501583,0.09291887431742285,cpd00305_e0,import
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd00013_e0,0.08803764829845143,0.09291887431742285,cpd00013_e0,export
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd00054_e0,-0.15238228903702966,0.09291887431742285,cpd00054_e0,import
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd00041_e0,0.10675561854973224,0.09291887431742285,cpd00041_e0,export
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd00156_e0,-0.2278601457623632,0.09291887431742285,cpd00156_e0,import
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd00084_e0,-0.051551768602714515,0.09291887431742285,cpd00084_e0,import
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd00029_e0,11.843547158060819,0.09291887431742285,cpd00029_e0,export
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd00239_e0,0.004477503965003166,0.09291887431742285,cpd00239_e0,export
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd00035_e0,-0.30680497354245756,0.09291887431742285,cpd00035_e0,import
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd00277_e0,-0.13653564586196357,0.09291887431742285,cpd00277_e0,import
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd00264_e0,-0.002238751982501583,0.09291887431742285,cpd00264_e0,import
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd00220_e0,-0.004477503965003165,0.09291887431742285,cpd00220_e0,import
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd00011_e0,1.6726019809512962,0.09291887431742285,cpd00011_e0,export
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd00039_e0,-0.18478210825505093,0.09291887431742285,cpd00039_e0,import
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd00322_e0,-0.1564412941055032,0.09291887431742285,cpd00322_e0,import
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd00047_e0,11.273536796974023,0.09291887431742285,cpd00047_e0,export
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd00010_e0,-0.004477503965004376,0.09291887431742285,cpd00010_e0,import
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd00063_e0,-0.004137711832185189,0.09291887431742285,cpd00063_e0,import
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd10516_e0,-0.004137711832185189,0.09291887431742285,cpd10516_e0,import
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd00051_e0,-0.1592753755204578,0.09291887431742285,cpd00051_e0,import
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd00033_e0,-0.30693044287085497,0.09291887431742285,cpd00033_e0,import
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd10515_e0,-0.006376463814686772,0.09291887431742285,cpd10515_e0,import
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd00053_e0,-0.318100622450618,0.09291887431742285,cpd00053_e0,import
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd00058_e0,-0.004137711832185189,0.09291887431742285,cpd00058_e0,import
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd00034_e0,-0.004137711832185189,0.09291887431742285,cpd00034_e0,import
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd00030_e0,-0.004137711832185189,0.09291887431742285,cpd00030_e0,import
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd00107_e0,-0.2898128922108135,0.09291887431742285,cpd00107_e0,import
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd00149_e0,-0.004137711832185189,0.09291887431742285,cpd00149_e0,import
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd00099_e0,-0.004137711832185189,0.09291887431742285,cpd00099_e0,import
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd00060_e0,-0.07827767335167579,0.09291887431742285,cpd00060_e0,import
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd00182_e0,-0.11010670013634134,0.09291887431742285,cpd00182_e0,import
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd00064_e0,-0.002238751982501583,0.09291887431742285,cpd00064_e0,import
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd00009_e0,-0.5572600913057204,0.09291887431742285,cpd00009_e0,import
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd00324_e0,-0.004477503965003166,0.09291887431742285,cpd00324_e0,import
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd00129_e0,-0.11903141942810015,0.09291887431742285,cpd00129_e0,import
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd00066_e0,-0.09975966580640772,0.09291887431742285,cpd00066_e0,import
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd90003_e0,-0.0014495291046523599,0.09291887431742285,cpd90003_e0,import
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd00254_e0,-0.004137711832185189,0.09291887431742285,cpd00254_e0,import
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd00065_e0,-0.030608079281511418,0.09291887431742285,cpd00065_e0,import
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd00017_e0,-0.006716255947504749,0.09291887431742285,cpd00017_e0,import
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd00205_e0,-0.004137711832185189,0.09291887431742285,cpd00205_e0,import
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd00161_e0,-0.13660272420081984,0.09291887431742285,cpd00161_e0,import
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd00067_e0,22.465970255164695,0.09291887431742285,cpd00067_e0,export
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd00276_e0,0.0002766324633254788,0.09291887431742285,cpd00276_e0,export
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd00132_e0,-0.12980092880492822,0.09291887431742285,cpd00132_e0,import
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd00048_e0,-0.004137711832185198,0.09291887431742285,cpd00048_e0,import
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd00119_e0,-0.05101346546918587,0.09291887431742285,cpd00119_e0,import
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd01861_e0,6.026006418259194,0.09291887431742285,cpd01861_e0,export
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd00082_e0,-9.880241756072126,0.09291887431742285,cpd00082_e0,import
S127C7720_Cetobacterium_A_somerae,ERR1620290_sub,1e-06,EX_cpd00028_e0,-0.002238751982501583,0.09291887431742285,cpd00028_e0,import
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd00069_e0,-0.006169468309128014,0.0074699008681539175,cpd00069_e0,import
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd00311_e0,-0.0036250302913450492,0.0074699008681539175,cpd00311_e0,import
