metabolite,name,molecular_weight,C_number,N_number,sbo,metanetx.chemical,inchikey,seed.compound,hmdb,reactome,kegg.compound,chebi,bigg.metabolite,biocyc,reaction,sample_id
cpd00216_e0,Chorismate,224.16692,10,0,SBO:0000247,MNXM337,WTFXTQVDAKGDEY-HTQZYQBOSA-L,cpd00216,HMDB12199,R-ALL-964856,C00251,"['CHEBI:17333', 'CHEBI:23227', 'CHEBI:3677', 'CHEBI:29748', 'CHEBI:13993', 'CHEBI:23225']",chor,META:CHORISMATE,EX_cpd00216_e0,ERR1620289_sub
cpd00229_e0,Glycolaldehyde-e0,60.05196,2,0,SBO:0000247,MNXM349,WGCNASOHLSPBMP-UHFFFAOYSA-N,cpd00229,"['HMDB03344', 'HMDB02165']",,C00266,"['CHEBI:131198', 'CHEBI:17071', 'CHEBI:14347', 'CHEBI:24386', 'CHEBI:5474']",gcald,META:GLYCOLALDEHYDE,EX_cpd00229_e0,ERR1620289_sub
cpd01015_e0,Cyanate-e0,42.0168,1,1,SBO:0000247,MNXM1191,XLJMAIOERFSOGZ-UHFFFAOYSA-M,cpd01015,HMDB02078,,C01417,"['CHEBI:28024', 'CHEBI:23422', 'CHEBI:3968', 'CHEBI:29195', 'CHEBI:14037', 'CHEBI:23419', 'CHEBI:29202']",cynt,META:CPD-69,EX_cpd01015_e0,ERR1620289_sub
cpd00417_e0,L-Lyxitol-e0,152.14578,5,0,SBO:0000247,MNXM801,HEBKCHPVOIAQTA-IMJSIDKUSA-N,cpd00417,"['HMDB01851', 'HMDB00199']",,C00532,"['CHEBI:18403', 'CHEBI:13073', 'CHEBI:21234', 'CHEBI:6184']","['abt', 'abt__L']",META:L-ARABITOL,EX_cpd00417_e0,ERR1620289_sub
cpd00009_m,Phosphate-e0,95.97930099999999,0,0,SBO:0000247,MNXM9,NBIIXXVUZAFLBC-UHFFFAOYSA-L,cpd00009,"['HMDB00973', 'HMDB01429', 'HMDB05947', 'HMDB02105', 'HMDB02142']","['R-ALL-109277', 'R-ALL-113548', 'R-ALL-113550', 'R-ALL-113551', 'R-ALL-29372', 'R-ALL-5228339', 'R-ALL-8851226', 'R-ALL-8851513']",C00009,CHEBI:43474,pi,"['META:CPD-16459', 'META:PHOSPHATE-GROUP', 'META:Pi']",EX_cpd00009_m,ERR1620289_sub
cpd00027_m,D-Glucose-e0,180.15588,6,0,SBO:0000247,MNXM41,WQZGKKKJIJFFOK-GASJEMHNSA-N,cpd00027,"['HMDB00122', 'HMDB06564']",,C00031,"['CHEBI:17634', 'CHEBI:12965', 'CHEBI:20999', 'CHEBI:4167']",glc__D,META:Glucopyranose,EX_cpd00027_m,ERR1620289_sub
cpd00030_m,Mn2+-e0,54.938049,0,0,SBO:0000247,MNXM2255,WAEMQWOKJMHJLA-UHFFFAOYSA-N,cpd00030,HMDB01333,"['R-ALL-1981162', 'R-ALL-29418']",C19610,"['CHEBI:29035', 'CHEBI:21435', 'CHEBI:25156', 'CHEBI:49749']",mn2,META:MN+2,EX_cpd00030_m,ERR1620289_sub
cpd00034_m,Zn2+-e0,65.409,0,0,SBO:0000247,MNXM149,PTFCDOFLOPIGGS-UHFFFAOYSA-N,cpd00034,HMDB01303,"['R-ALL-158417', 'R-ALL-216667', 'R-ALL-216785', 'R-ALL-29426', 'R-ALL-435350', 'R-ALL-437093', 'R-ALL-442320']",C00038,"['CHEBI:29105', 'CHEBI:10113', 'CHEBI:27368', 'CHEBI:49972', 'CHEBI:49982']","['HC02172', 'zn2']",META:ZN+2,EX_cpd00034_m,ERR1620289_sub
cpd00048_m,Sulfate-e0,96.0626,0,0,SBO:0000247,MNXM58,QAOWNCQODCNURD-UHFFFAOYSA-L,cpd00048,HMDB01448,"['R-ALL-1606845', 'R-ALL-1609649', 'R-ALL-1614584', 'R-ALL-174375', 'R-ALL-427648']",C00059,"['CHEBI:16189', 'CHEBI:15135', 'CHEBI:45687', 'CHEBI:9335', 'CHEBI:26836', 'CHEBI:45696', 'CHEBI:29199', 'CHEBI:45693']",so4,"['META:HSO4', 'META:SULFATE']",EX_cpd00048_m,ERR1620289_sub
cpd00118_m,Putrescine-e0,90.16736,4,2,SBO:0000247,MNXM118,KIDHWZJUCRJVML-UHFFFAOYSA-P,cpd00118,"['HMDB01414', 'HMDB60243']","['R-ALL-141350', 'R-ALL-29610']",C00134,"['CHEBI:17148', 'CHEBI:14972', 'CHEBI:26405', 'CHEBI:45092', 'CHEBI:8650', 'CHEBI:326268']",ptrc,META:PUTRESCINE,EX_cpd00118_m,ERR1620289_sub
cpd00149_m,Co2+-e0,58.9332,0,0,SBO:0000247,MNXM90960,XLJKHNWPARRRJB-UHFFFAOYSA-N,cpd00149,HMDB00608,,C00175,"['CHEBI:48828', 'CHEBI:23337', 'CHEBI:48827']",cobalt2,META:CO+2,EX_cpd00149_m,ERR1620289_sub
cpd00154_m,Xylose-e0,150.1299,5,0,SBO:0000247,MNXM348,SRBFZHDQGSBBOR-IOVATXLUSA-N,cpd00154,"['HMDB00098', 'HMDB03763']",R-ALL-2090063,C00181,"['CHEBI:53455', 'CHEBI:65327']",xyl__D,META:D-Xylopyranose,EX_cpd00154_m,ERR1620289_sub
cpd00179_m,Maltose-e0,342.29648000000003,12,0,SBO:0000247,MNXM165,GUBGYTABKSRVRQ-PICCSMPSSA-N,cpd00179,,"['R-ALL-188986', 'R-ALL-868706']","['C00208', 'C00897']","['CHEBI:17306', 'CHEBI:14568', 'CHEBI:25144', 'CHEBI:6668', 'CHEBI:18167', 'CHEBI:10300', 'CHEBI:12340', 'CHEBI:22463', 'CHEBI:43893']",malt,"['META:ALPHA-MALTOSE', 'META:MALTOSE']",EX_cpd00179_m,ERR1620289_sub
cpd00224_m,L-Arabinose-e0,150.1299,5,0,SBO:0000247,MNXM461,SRBFZHDQGSBBOR-HWQSCIPKSA-N,cpd00224,"['HMDB00646', 'HMDB00487']",,C00259,"['CHEBI:17535', 'CHEBI:21232', 'CHEBI:6181', 'CHEBI:30849', 'CHEBI:13076']",,META:L-arabinopyranose,EX_cpd00224_m,ERR1620289_sub
cpd00244_m,Ni2+-e0,58.6934,0,0,SBO:0000247,MNXM1847,PXHVJJICTQNCMI-UHFFFAOYSA-N,cpd00244,,,C00291,"['CHEBI:28112', 'CHEBI:25515', 'CHEBI:7552']",,,EX_cpd00244_m,ERR1620289_sub
cpd00264_m,Spermidine-e0,148.26968,7,3,SBO:0000247,MNXM124,ATHGHQPFGPMSJY-UHFFFAOYSA-Q,cpd00264,HMDB01257,"['R-ALL-141324', 'R-ALL-204635']",C00315,"['CHEBI:16610', 'CHEBI:15095', 'CHEBI:15097', 'CHEBI:26732', 'CHEBI:26733', 'CHEBI:45647', 'CHEBI:9218', 'CHEBI:57834']",spmd,META:SPERMIDINE,EX_cpd00264_m,ERR1620289_sub
cpd00268_m,H2S2O3-e0,113.13614,0,0,SBO:0000247,MNXM323,DHCDFWKWKRSZHF-UHFFFAOYSA-M,cpd00268,"['HMDB00257', 'HMDB60293']",R-ALL-1614595,"['C00320', 'C05529']","['CHEBI:16094', 'CHEBI:15242', 'CHEBI:45922', 'CHEBI:9569', 'CHEBI:26977', 'CHEBI:29279', 'CHEBI:33539', 'CHEBI:33540', 'CHEBI:33541', 'CHEBI:33542', 'CHEBI:5587']",tsul,META:S2O3,EX_cpd00268_m,ERR1620289_sub
