reaction,global_id,metabolite,flux,metabolite_BIGG,Description_BIGG,MNXM_ID
EX_cpd00635_m,EX_cpd00635_e0,cpd00635,0.1,cbl1_m,Cob(I)alamin,MNXM1104756
EX_cpd00644_m,EX_cpd00644_e0,cpd00644,0.1,pnto_R_m,,
EX_cpd00654_m,EX_cpd00654_e0,cpd00654,0.1,dcyt_m,Deoxycytidine,MNXM704
EX_cpd00724_m,EX_cpd00724_e0,cpd00724,0.0148986,gal_m,D-Galactose,MNXM1108175
EX_cpd00751_m,EX_cpd00751_e0,cpd00751,0.0148986,fuc_L_m,,
EX_cpd00794_m,EX_cpd00794_e0,cpd00794,0.074493,tre_m,Trehalose,MNXM1106022
EX_cpd00971_m,EX_cpd00971_e0,cpd00971,0.1,na1_m,Sodium,MNXM27
EX_cpd01017_m,EX_cpd01017_e0,cpd01017,0.1,cgly_m,Cys Gly,MNXM683
EX_cpd01080_m,EX_cpd01080_e0,cpd01080,0.0169283,ocdca_m,Octadecanoate (n-C18:0),MNXM236
EX_cpd01122_m,EX_cpd01122_e0,cpd01122,0.00001,lnlc_m,Linoleic acid (all cis C18:2) n-6,MNXM1108069
EX_cpd01188_m,EX_cpd01188_e0,cpd01188,0.1,lanost_m,Lanosterol,MNXM736942
EX_cpd01459_m,EX_cpd01459_e0,cpd01459,0.113256821,glyleu_m,Glycylleucine,MNXM126241
EX_cpd01727_m,EX_cpd01727_e0,cpd01727,0.1,pime_m,Pimelate,MNXM2555
EX_cpd01741_m,EX_cpd01741_e0,cpd01741,0.1,ddca_m,Dodecanoate (n-C12:0),MNXM402
EX_cpd01914_m,EX_cpd01914_e0,cpd01914,0.1,metsox_S_L_m,,
EX_cpd02992_m,EX_cpd02992_e0,cpd02992,0.1,new_mucin_2,,MNXM1098197
EX_cpd03198_m,EX_cpd03198_e0,cpd03198,0.0074493,melib_m,Melibiose,MNXM1103964
EX_cpd03396_m,EX_cpd03396_e0,cpd03396,0.1,sel_m,Selenate,MNXM2282
EX_cpd03725_m,EX_cpd03725_e0,cpd03725,0.00001,fe3dcit_m,Fe(III)dicitrate,MNXM1107801
EX_cpd03809_m,EX_cpd03809_e0,cpd03809,0.0074493,lcts_m,Lactose,MNXM1104432
EX_cpd03846_m,EX_cpd03846_e0,cpd03846,0.00001,octa_m,Octanoate (n-C8:0),MNXM750
EX_cpd03847_m,EX_cpd03847_e0,cpd03847,0.0068676,ttdca_m,Tetradecanoate (n-C14:0),MNXM314
EX_cpd03849_m,EX_cpd03849_e0,cpd03849,0.00001,lnlncg_m,Gamma-linolenic acid,MNXM3995
EX_cpd03850_m,EX_cpd03850_e0,cpd03850,0.00001,lnlnca_m,"Alpha-Linolenic acid, C18:3, n-3",MNXM1108303
EX_cpd05274_m,EX_cpd05274_e0,cpd05274,0.00001,hdcea_m,Hexadecenoate (n-C16:1),MNXM1107900
EX_cpd10515_m,EX_cpd10515_e0,cpd10515,0.1,fe2_m,Fe2+ mitochondria,MNXM726711
EX_cpd10516_m,EX_cpd10516_e0,cpd10516,0.1,fe3_m,Iron (Fe3+),MNXM726712
EX_cpd11574_m,EX_cpd11574_e0,cpd11574,0.1,mobd_m,Molybdate,MNXM726092
EX_cpd11602_m,EX_cpd11602_e0,cpd11602,0.000470195,inulin_m,,
EX_cpd11606_m,EX_cpd11606_e0,cpd11606,0.1,mqn7_m,Menaquinone 7,MNXM12236
EX_cpd11640_m,EX_cpd11640_e0,cpd11640,0.1,h2_m,Hydrogen,MNXM1108018
EX_cpd11657_m,EX_cpd11657_e0,cpd11657,0.2573508,starch1200_m,"Starch n=1200 repeat units (300 repeat units amylose, 900 repeat units amylopectin, corresponds to potatoe starch)",MNXM148510
EX_cpd11688 _m,EX_cpd11688 _e0,cpd11688 ,0.0000118,pullulan1200_m,"Pullulan (n=1200 repeat units, alpha-1,4 and alph-1,6 bounds)",MNXM148493
EX_cpd11696_m,EX_cpd11696_e0,cpd11696,7.05E-08,bglc_m,Beta-glucans,MNXM163321
EX_cpd11732_m,EX_cpd11732_e0,cpd11732,0.0000321,xylan_m,,
EX_cpd11735_m,EX_cpd11735_e0,cpd11735,0.0000157,amylopect900_m,,
EX_cpd11746_m,EX_cpd11746_e0,cpd11746,0.0000282,cellul_m,,
EX_cpd11748_m,EX_cpd11748_e0,cpd11748,0.000470195,lmn30_m,"Laminarin (n=30 repeat units, beta -1,3 glc)",MNXM148323
EX_cpd11842_m,EX_cpd11842_e0,cpd11842,0.1,new_mucin_1,,MNXM1097432
EX_cpd15311_m,EX_cpd15311_e0,cpd15311,0.1,12dgr180_m,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",MNXM4217
EX_cpd15352_m,EX_cpd15352_e0,cpd15352,0.1,2dmmq8_m,2-Demethylmenaquinone 8,MNXM2178
EX_cpd15380_m,EX_cpd15380_e0,cpd15380,0.0178783,drib_m,Deoxyribose,MNXM731178
EX_cpd15500_m,EX_cpd15500_e0,cpd15500,0.1,mqn8_m,Menaquinone 8,MNXM509
EX_cpd15560_m,EX_cpd15560_e0,cpd15560,1.00E-01,q8_m,Ubiquinone-8,MNXM232
EX_cpd21149_m,EX_cpd21149_e0,cpd21149,0.1,acnam_m,N-Acetylneuraminate,MNXM1106047
EX_cpd27094_m,EX_cpd27094_e0,cpd27094,0.0148986,rmn_m,L-Rhamnose,MNXM733618
EX_cpd27835_m,EX_cpd27835_e0,cpd27835,0.0000334,pect_m,Pectins,MNXM163549
EX_cpd00063_m,EX_cpd00063_e0,cpd00063,0.1,ca2_m,Calcium,MNXM128
EX_cpd30321_m,EX_cpd30321_e0,cpd30321,0.0148986,fru_m,D-Fructose,MNXM1105810
EX_cpd03246_m,EX_cpd03246_e0,cpd03246,0.002479,,Taurochenodeoxycholate,
EX_cpd03247_m,EX_cpd03247_e0,cpd03247,0.009916,,Glycochenodeoxycholate,
EX_cpd03047_m,EX_cpd03047_e0,cpd03047,0.002479,EX_tchola_m,Taurocholate,
EX_cpd01318_m,EX_cpd01318_e0,cpd01318,0.009916,EX_gchola_m,Glycocholate,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
